Time;Voltage;Current;T1;T2
0;3172;1000;29.390009;34.470177
1;3172;1000;29.363245;34.444969
2;3286;995;29.363245;34.419731
3;3292;1002;29.363245;34.394463
4;3295;1005;29.336512;34.394463
5;3304;999;29.336512;34.369194
6;3304;999;29.336512;34.394463
7;3306;1005;29.336512;34.394463
8;3310;998;29.309748;34.394463
9;3312;999;29.336512;34.419731
10;3315;1000;29.336512;34.394463
11;3319;998;29.282984;34.394463
12;3324;1007;29.256189;34.444969
13;3324;999;29.256189;34.444969
14;3328;1006;29.282984;34.444969
15;3330;1005;29.282984;34.444969
16;3333;999;29.282984;34.444969
17;3335;999;29.256189;34.444969
18;3337;1001;29.256189;34.470177
19;3339;1005;29.282984;34.444969
20;3344;1006;29.256189;34.419731
21;3346;999;29.229425;34.419731
22;3348;1006;29.229425;34.343956
23;3351;1006;29.175837;34.369194
24;3351;999;29.229425;34.394463
25;3355;1005;29.229425;34.419731
26;3357;1006;29.229425;34.419731
27;3359;999;29.256189;34.444969
28;3359;1005;29.256189;34.470177
29;3364;998;29.256189;34.470177
30;3368;1005;29.282984;34.470177
31;3368;1006;29.309748;34.520653
32;3371;1000;29.309748;34.495415
33;3375;1001;29.336512;34.495415
34;3373;1000;29.309748;34.470177
35;3377;999;29.282984;34.444969
36;3377;1006;29.282984;34.444969
37;3382;999;29.256189;34.419731
38;3384;999;29.309748;34.419731
39;3384;1005;29.282984;34.419731
40;3389;999;29.282984;34.470177
41;3391;999;29.282984;34.470177
42;3391;1005;29.282984;34.470177
43;3393;999;29.256189;34.444969
44;3393;999;29.256189;34.444969
45;3395;1007;29.256189;34.419731
46;3400;1001;29.256189;34.419731
47;3400;1006;29.256189;34.419731
48;3402;999;29.256189;34.444969
49;3404;999;29.256189;34.470177
50;3406;999;29.256189;34.470177
51;3406;1006;29.256189;34.495415
52;3409;998;29.256189;34.495415
53;3411;1006;29.256189;34.495415
54;3413;1006;29.229425;34.470177
55;3413;1005;29.256189;34.470177
56;3418;1004;29.256189;34.444969
57;3418;1000;29.256189;34.444969
58;3418;999;29.229425;34.444969
59;3420;1006;29.229425;34.470177
60;3422;999;29.202631;34.470177
61;3422;1005;29.175837;34.495415
62;3424;999;29.202631;34.495415
63;3427;999;29.175837;34.495415
64;3429;998;29.175837;34.520653
65;3431;1006;29.175837;34.545891
66;3431;1006;29.149012;34.520653
67;3433;998;29.122187;34.520653
68;3436;1000;29.149012;34.495415
69;3436;999;29.095331;34.495415
70;3438;999;29.068506;34.520653
71;3440;1005;29.068506;34.520653
72;3440;999;29.068506;34.520653
73;3444;1005;29.068506;34.495415
74;3444;999;29.068506;34.545891
75;3444;1005;29.068506;34.545891
76;3447;998;29.041651;34.520653
77;3449;999;29.068506;34.545891
78;3449;1006;29.068506;34.520653
79;3451;999;29.068506;34.495415
80;3451;1006;29.014765;34.520653
81;3453;1005;29.068506;34.520653
82;3456;1005;29.041651;34.520653
83;3456;999;29.041651;34.520653
84;3458;992;29.068506;34.545891
85;3458;999;29.014765;34.545891
86;3460;1005;29.041651;34.545891
87;3460;998;29.041651;34.520653
88;3462;998;29.041651;34.520653
89;3465;1008;29.068506;34.545891
90;3465;999;29.041651;34.545891
91;3467;1005;29.041651;34.545891
92;3467;1005;29.068506;34.520653
93;3467;1006;29.068506;34.571098
94;3471;999;29.041651;34.571098
95;3471;994;29.041651;34.571098
96;3474;999;29.068506;34.571098
97;3474;1005;29.041651;34.571098
98;3476;1006;29.068506;34.545891
99;3476;999;29.095331;34.571098
100;3478;1005;29.068506;34.571098
101;3478;999;29.068506;34.571098
102;3480;999;29.068506;34.520653
103;3482;1005;29.068506;34.545891
104;3482;1000;29.068506;34.545891
105;3482;1005;29.068506;34.545891
106;3485;999;29.068506;34.571098
107;3487;998;29.068506;34.571098
108;3487;1005;29.068506;34.571098
109;3487;999;29.068506;34.545891
110;3487;998;29.068506;34.545891
111;3489;1006;29.041651;34.571098
112;3491;999;29.041651;34.520653
113;3491;1000;29.041651;34.545891
114;3494;999;29.041651;34.520653
115;3494;1007;29.041651;34.545891
116;3496;1006;29.068506;34.571098
117;3496;998;29.041651;34.545891
118;3498;999;29.095331;34.545891
119;3500;999;29.122187;34.571098
120;3500;999;29.068506;34.545891
121;3503;1005;29.095331;34.545891
122;3503;1001;29.122187;34.545891
123;3503;998;29.122187;34.545891
124;3503;999;29.095331;34.545891
125;3503;992;29.122187;34.520653
126;3507;999;29.122187;34.495415
127;3507;1004;29.068506;34.545891
128;3509;1005;29.122187;34.545891
129;3509;998;29.122187;34.545891
130;3512;997;29.122187;34.520653
131;3512;998;29.095331;34.545891
132;3514;998;29.095331;34.545891
133;3514;998;29.122187;34.545891
134;3514;999;29.122187;34.545891
135;3516;1005;29.122187;34.520653
136;3516;998;29.122187;34.520653
137;3518;1005;29.149012;34.520653
138;3518;999;29.122187;34.520653
139;3520;998;29.122187;34.545891
140;3520;1000;29.149012;34.545891
141;3520;999;29.122187;34.545891
142;3523;998;29.122187;34.545891
143;3525;999;29.122187;34.520653
144;3525;1005;29.149012;34.545891
145;3525;998;29.122187;34.520653
146;3527;999;29.122187;34.545891
147;3527;1006;29.122187;34.545891
148;3529;1005;29.122187;34.520653
149;3532;999;29.068506;34.520653
150;3532;998;29.095331;34.495415
151;3529;1004;29.122187;34.470177
152;3529;999;29.122187;34.495415
153;3534;999;29.095331;34.495415
154;3534;999;29.068506;34.520653
155;3536;1005;29.068506;34.495415
156;3536;1005;29.095331;34.470177
157;3536;1005;29.068506;34.419731
158;3538;1004;29.095331;34.419731
159;3538;1005;29.095331;34.470177
160;3541;1000;29.095331;34.495415
161;3541;1005;29.095331;34.495415
162;3541;1006;29.068506;34.520653
163;3541;1005;29.095331;34.495415
164;3541;1004;29.095331;34.520653
165;3543;1005;29.095331;34.520653
166;3545;998;29.068506;34.520653
167;3545;1004;29.095331;34.495415
168;3545;1004;29.068506;34.470177
169;3547;1006;29.068506;34.444969
170;3547;1004;29.014765;34.419731
171;3547;1004;29.041651;34.394463
172;3547;1004;29.041651;34.394463
173;3550;1005;29.041651;34.394463
174;3547;1006;29.041651;34.394463
175;3552;999;29.014765;34.444969
176;3554;1005;29.014765;34.444969
177;3554;1000;29.014765;34.444969
178;3556;999;28.987909;34.444969
179;3554;1006;29.014765;34.444969
180;3556;1005;28.987909;34.444969
181;3559;1005;29.014765;34.444969
182;3556;999;29.014765;34.444969
183;3556;1005;29.014765;34.444969
184;3559;998;28.987909;34.470177
185;3559;1006;29.014765;34.444969
186;3559;1005;29.014765;34.470177
187;3561;998;28.961023;34.470177
188;3561;1005;28.987909;34.495415
189;3563;997;28.961023;34.470177
190;3565;998;28.961023;34.470177
191;3563;1004;28.961023;34.444969
192;3565;998;28.934107;34.470177
193;3565;1004;28.934107;34.495415
194;3565;1005;28.907221;34.520653
195;3565;998;28.907221;34.470177
