Time;Voltage;Current;T1;T2;;Current;0
1;4173;1000;26.048243;26.747217;;1000;0
2;4068;-995;26.07638;26.747217;;995;0
3;4061;-994;26.07638;26.719416;;994;0
4;4059;-1013;26.07638;26.719416;;1013;0
5;4059;-1011;26.048243;26.747217;;1011;0
6;4055;-1012;26.048243;26.775019;;1012;0
7;4055;-995;26.020136;26.775019;;995;0
8;4055;-988;26.048243;26.886072;;988;0
9;4055;-1007;26.048243;26.886072;;1007;0
10;4050;-995;26.048243;26.913813;;995;0
11;4050;-1000;26.07638;26.913813;;1000;0
12;4050;-1003;26.07638;26.941523;;1003;0
13;4048;-1011;26.104486;26.941523;;1011;0
14;4048;-998;26.104486;26.996943;;998;0
15;4046;-1004;26.07638;27.024622;;1004;0
16;4046;-992;26.160639;27.07995;;992;0
17;4046;-997;26.104486;27.052271;;997;0
18;4044;-997;26.160639;27.07995;;997;0
19;4041;-1015;26.188684;27.135218;;1015;0
20;4039;-1015;26.160639;27.162867;;1015;0
21;4041;-1000;26.160639;27.162867;;1000;0
22;4039;-995;26.160639;27.190485;;995;0
23;4039;-1001;26.160639;27.190485;;1001;0
24;4037;-998;26.104486;27.218073;;998;0
25;4039;-991;26.104486;27.218073;;991;0
26;4035;-1004;26.132563;27.273218;;1004;0
27;4035;-988;26.104486;27.273218;;988;0
28;4037;-998;26.104486;27.300806;;998;0
29;4032;-1002;26.104486;27.300806;;1002;0
30;4035;-993;26.048243;27.328363;;993;1
31;4032;-1012;26.104486;27.35589;;1012;1
32;4032;-997;26.104486;27.383417;;997;1
33;4032;-996;26.104486;27.410944;;996;1
34;4030;-1002;26.104486;27.43844;;1002;1
35;4030;-1009;26.07638;27.465937;;1009;1
36;4028;-1012;26.048243;27.493433;;1012;1
37;4028;-994;26.07638;27.493433;;994;1
38;4028;-999;26.07638;27.493433;;999;1
39;4026;-992;26.07638;27.520899;;992;1
40;4028;-998;26.104486;27.548365;;998;1
41;4026;-1004;26.07638;27.603235;;1004;1
42;4026;-1007;26.07638;27.603235;;1007;1
43;4023;-994;26.07638;27.630671;;994;1
44;4023;-1001;26.07638;27.630671;;1001;1
45;4023;-996;26.07638;27.68548;;996;1
46;4021;-998;26.07638;27.68548;;998;1
47;4023;-1012;26.048243;27.712885;;1012;1
48;4023;-995;26.07638;27.740259;;995;1
49;4021;-990;26.07638;27.740259;;990;1
50;4021;-1007;26.048243;27.794977;;1007;1
51;4021;-998;26.048243;27.822321;;998;1
52;4021;-991;26.048243;27.822321;;991;1
53;4019;-1008;26.048243;27.849634;;1008;1
54;4019;-1009;26.07638;27.876978;;1009;1
55;4019;-991;26.048243;27.849634;;991;1
56;4019;-998;26.048243;27.876978;;998;1
57;4017;-1011;26.048243;27.931574;;1011;1
58;4017;-1009;26.048243;27.931574;;1009;1
59;4017;-1003;26.048243;27.958887;;1003;1
60;4014;-995;26.048243;27.986139;;995;1
61;4014;-998;26.07638;28.013422;;998;1
62;4014;-1003;26.048243;28.013422;;1003;1
63;4014;-995;26.07638;28.040674;;995;1
64;4012;-995;26.07638;28.067926;;995;1
65;4014;-1004;25.991999;28.067926;;1004;1
66;4014;-989;26.07638;28.095148;;989;1
67;4014;-991;26.07638;28.1224;;991;1
68;4014;-1009;26.020136;28.149591;;1009;1
70;4012;-989;26.048243;28.176813;;989;1
71;4012;-994;26.07638;28.176813;;994;1
72;4010;-992;26.07638;28.204004;;992;1
73;4010;-991;26.104486;28.204004;;991;1
74;4010;-1012;26.07638;28.258356;;1012;1
75;4010;-1013;26.07638;28.258356;;1013;1
76;4010;-997;26.104486;28.285517;;997;1
77;4010;-992;26.104486;28.312647;;992;1
78;4008;-1000;26.104486;28.312647;;1000;1
79;4008;-1008;26.104486;28.339777;;1008;1
80;4008;-1011;26.132563;28.394037;;1011;1
81;4008;-995;26.104486;28.366907;;995;1
82;4008;-1000;26.160639;28.421137;;1000;1
83;4006;-1009;26.132563;28.448206;;1009;1
84;4006;-1010;26.160639;28.448206;;1010;1
85;4006;-1002;26.132563;28.448206;;1002;1
86;4006;-1010;26.132563;28.475306;;1010;1
87;4006;-999;26.132563;28.475306;;999;1
88;4006;-1001;26.160639;28.502375;;1001;1
89;4006;-1008;26.104486;28.529444;;1008;1
90;4003;-1008;26.160639;28.529444;;1008;2
91;4003;-1004;26.188684;28.583521;;1004;2
92;4006;-1011;26.160639;28.610559;;1011;2
93;4003;-990;26.160639;28.610559;;990;2
